計算 7×2/9，請用假分數回答。,0,9/7,14/9,2/63,7/9,14/9,整數乘以分數的計算方法：用整數乘以分子，分母保持不變。所以7×2/9＝(7×2)/9＝14/9。題目要求假分數，14/9的分子14大於分母9，已經是假分數，所以答案就是14/9。,1
計算 4×3/8，請用最簡分數回答。,0,12/8,3/2,4/3,8/3,3/2,整數乘以分數：整數乘以分子，分母不變。4×3/8＝(4×3)/8＝12/8。接著約分：12和8的最大公因數是4，12÷4＝3，8÷4＝2，所以12/8＝3/2。答案是3/2。,1
計算 2/7×3/5，請用最簡分數回答。,1,,,,,6/35,分數乘以分數的計算方法：分子乘以分子，分母乘以分母。2/7×3/5＝(2×3)/(7×5)＝6/35。檢查約分：6＝2×3，35＝5×7，兩者沒有共同的因數，所以6/35已經是最簡分數。,1
一條彩帶長18公尺，小美用了全部的2/9，請問小美用了幾公尺？,0,2,4,6,9,4,求「全部的幾分之幾」就是用乘法。18×2/9＝(18×2)/9＝36/9＝4公尺。也可以先約分：18÷9＝2，所以變成2×2＝4公尺。答案是4公尺。,1
計算 9×4/6，請用帶分數回答。,1,,,,,6,整數乘以分數：9×4/6＝(9×4)/6＝36/6＝6。也可以先約分：9和6的最大公因數是3，9÷3＝3，6÷3＝2，變成3×4/2＝(3×4)/2＝12/2＝6。因為結果是整數6，所以帶分數的寫法就是6。,1
一包糖果有24顆，弟弟吃了全部的1/6，請問弟弟吃了幾顆？,0,3,4,6,8,4,求「全部的幾分之幾」就是用乘法。24×1/6＝(24×1)/6＝24/6＝4顆。也可以先約分：24÷6＝4，所以答案就是4顆糖果。,1
計算 5×7/10，請用帶分數回答。,0,3又1/2,3又1/5,2又3/4,4又1/10,3又1/2,整數乘以分數：5×7/10＝(5×7)/10＝35/10。約分：35和10的最大公因數是5，35÷5＝7，10÷5＝2，所以35/10＝7/2。化為帶分數：7÷2＝3餘1，所以7/2＝3又1/2。,1
計算 1/4×2/3，請用最簡分數回答。,0,2/12,1/6,1/7,3/8,1/6,分數乘以分數：分子乘以分子，分母乘以分母。1/4×2/3＝(1×2)/(4×3)＝2/12。約分：2和12的最大公因數是2，2÷2＝1，12÷2＝6，所以2/12＝1/6。也可以先約分：分子2和分母4的公因數是2，約掉得1和2，變成1/2×1/3＝1/6。,1
計算 8×5/12，請用帶分數回答。,0,3又1/3,2又2/3,3又1/6,4又1/12,3又1/3,整數乘以分數：8×5/12＝(8×5)/12＝40/12。約分：40和12的最大公因數是4，40÷4＝10，12÷4＝3，所以40/12＝10/3。化為帶分數：10÷3＝3餘1，所以10/3＝3又1/3。,1
計算 3/8×4/5，請用最簡分數回答。,1,,,,,3/10,分數乘以分數：分子乘以分子，分母乘以分母。3/8×4/5。先約分更簡單：分子4和分母8的公因數是4，約掉得1和2。變成3/2×1/5＝(3×1)/(2×5)＝3/10。檢查：3和10沒有共同因數，已是最簡分數。驗算：(3×4)/(8×5)＝12/40＝3/10，答案正確。,1
