english,chinese,partOfSpeech,exampleSentence,englishDefinition
could,能夠（過去/委婉）,aux.,"When I was young, I could run very fast.","Used to talk about ability in the past, or to ask politely."
would,將會、會,aux.,She said she would help me with my homework.,"Used to talk about a future action in the past, or to make a polite request."
emergency,緊急狀況,n.,Call 119 if there is a fire emergency.,A sudden serious situation that needs quick action.
capital,首都,n.,Taipei is the capital of Taiwan.,"The most important city of a country, where the government is."
making,製作、製造,v.,My mom is making a birthday cake right now.,The act of creating or producing something.
pattern,圖案、規律,n.,The shirt has a nice pattern of stars.,A repeated design or a regular way that something happens.
seek,尋找、追求,v.,We should seek help when a problem is too big.,To try to find or get something.
hide,隱藏、躲藏,v.,The cat likes to hide under the bed.,"To put something where it cannot be seen, or to go where you cannot be found."
once,一旦、曾經、一次,adv./conj.,"Once you finish your homework, you can play.",One time; or as soon as something happens.
although,雖然,conj.,"Although it was raining, we still went outside.",Used to join two ideas that seem opposite; in spite of the fact that.
though,雖然、不過,conj./adv.,"He is very kind, though he looks serious.",In spite of the fact that; or used to add a surprising idea.
through,穿過、透過,prep.,The train went through a long dark tunnel.,From one side or end of something to the other.
throw,丟、投擲,v.,Please throw the ball to me.,To send something through the air with your hand.
neck,脖子,n.,The giraffe has a very long neck.,The part of the body that joins the head to the shoulders.
receive,收到、接收,v.,I was happy to receive a letter from my friend.,To get or be given something.
instead of,代替、而不是,phr.,Let's walk instead of taking the bus.,In place of something or someone else.
beside,在…旁邊,prep.,She sat beside her best friend in class.,Next to or at the side of someone or something.
during,在…期間,prep.,We stayed quiet during the movie.,"All through a period of time, or at some point in it."
change,改變、零錢,v./n.,The weather can change very quickly in spring.,To make or become different.
cart,手推車,n.,He pushed the shopping cart around the store.,A small vehicle with wheels used to carry things.
how far,多遠,phr.,How far is the school from your house?,Used to ask about distance.
work out,算出、想出、運動,phr.,Let me work out how much money we need.,"To find the answer to something, or to exercise."
purpose,目的,n.,The purpose of this class is to learn English.,The reason why you do something.
century,世紀,n.,The building is more than a century old.,A period of one hundred years.
mention,提到,v.,She did not mention her plans for the weekend.,To say or write something briefly.
directly,直接地,adv.,Please send the email directly to your teacher.,"In a straight line, or without anything in between."
himself,他自己,pron.,He made the model airplane all by himself.,Used to talk about a male person who is the same as the subject.
made,製作、做（make 的過去式）,v.,She made a beautiful card for her mother.,Past form of 'make'; created or produced something.
invited,邀請（invite 的過去式）,v.,They invited all their friends to the party.,Past form of 'invite'; asked someone to come or join.
too...to,太…以致於不能,phr.,He was too tired to finish the race.,Used to say something is so much of a quality that a result is not possible.
quite,相當、頗,adv.,The test was quite difficult for everyone.,To a fairly large degree; rather.
turn up,出現、調大（音量）,phr.,Please turn up the music a little.,"To arrive or appear, or to make something louder or stronger."
weight,重量,n.,The doctor checked the baby's weight.,How heavy something is.
humble,謙虛的,adj.,"Even after winning, the champion stayed humble.",Not proud; not thinking you are better than others.
social proof,社會認同（如評價、評論）,phr.,Good reviews are a kind of social proof that a shop is trustworthy.,The idea that people copy what others do because they think it is correct.
social skill,社交技能,phr.,Playing with friends helps children build social skill.,The ability to talk and get along well with other people.
social media,社群媒體,phr.,Many people share their photos on social media.,"Websites and apps where people share messages, photos, and videos."
Einstein,愛因斯坦（人名）,n.,Einstein is famous for his ideas about time and space.,A famous scientist known for his work on physics.
be responsible for,對…負責,phr.,Students are responsible for keeping the classroom clean.,To be the person who must take care of or deal with something.
responsibility,責任,n.,Feeding the dog is my responsibility at home.,A duty or job that you must take care of.
twist,扭轉、扭曲,v.,You can twist the cap to open the bottle.,To turn or bend something around.
complete,完成、完整的,v./adj.,It took her two hours to complete the puzzle.,"To finish something, or having all its parts."
promise,承諾、保證,v./n.,I promise to call you tomorrow.,To say that you will surely do something.
contact,聯絡、接觸,v./n.,Please contact me if you have any questions.,"To communicate with someone, or the act of touching."
last from,從…持續,phr.,The class will last from nine to ten o'clock.,"To continue for a period of time, starting from a point."
further,更進一步的、更遠的,adj./adv.,We need to discuss this further tomorrow.,To a greater distance or degree; more.
pay raise,加薪,phr.,He was happy to get a pay raise this year.,An increase in the money someone is paid for their work.
climate,氣候,n.,The climate near the sea is often warm and wet.,The usual weather in a place over a long time.
shelf,架子、層板,n.,She put the books back on the shelf.,A flat board on a wall or in a cupboard used to hold things.
fear,害怕、恐懼,n./v.,He has a fear of high places.,A bad feeling you have when you think something dangerous may happen.
in place of,代替,phr.,We used honey in place of sugar.,Instead of someone or something.
replace,取代、更換,v.,We need to replace the broken window.,To put a new thing in the place of an old one.
displacement,移位、取代,n.,The flood caused the displacement of many families.,"The act of moving something from its usual place, or being moved."
expression,表達、表情,n.,A smile is an expression of happiness.,The act of showing your thoughts or feelings in words or on your face.
no choice but to,別無選擇只能,phr.,"It started to rain, so we had no choice but to go home.",Having only one possible action and nothing else to do.
