計算 1/4＋1/6，請用最簡分數回答。,0,5/12,2/10,1/5,3/8,5/12,1/4和1/6的分母不同（4和6），需要先通分才能相加。找4和6的最小公倍數：4的倍數是4、8、12…，6的倍數是6、12…，最小公倍數是12。把1/4通分：分子和分母都乘以3，得到3/12。把1/6通分：分子和分母都乘以2，得到2/12。現在分母相同了：3/12＋2/12＝5/12。檢查5和12有沒有公因數：5是質數，12＝2×2×3，沒有共同因數，所以5/12已經是最簡分數。,1
計算 3/5＋1/4，請用最簡分數回答。,0,17/20,4/9,7/20,11/20,17/20,3/5和1/4的分母不同（5和4），需要先通分。找5和4的最小公倍數：5的倍數是5、10、15、20…，4的倍數是4、8、12、16、20…，最小公倍數是20。把3/5通分：分子和分母都乘以4，得到12/20。把1/4通分：分子和分母都乘以5，得到5/20。計算：12/20＋5/20＝17/20。檢查17和20有沒有公因數：17是質數，20＝2×2×5，沒有共同因數，所以17/20已經是最簡分數。,1
計算 5/6－1/3，請用最簡分數回答。,0,1/2,2/3,4/6,1/3,1/2,5/6和1/3的分母不同（6和3），需要通分。找6和3的最小公倍數：3的倍數是3、6…，6的倍數是6…，最小公倍數是6。5/6的分母已經是6，不用變。把1/3通分：分子和分母都乘以2，得到2/6。計算：5/6－2/6＝3/6。3/6的分子分母都可以除以3，約分得到1/2。所以答案是1/2。,1
計算 2/3－1/5，請用最簡分數回答。,1,,,,,7/15,2/3和1/5的分母不同（3和5），需要通分。找3和5的最小公倍數：3的倍數是3、6、9、12、15…，5的倍數是5、10、15…，最小公倍數是15。把2/3通分：分子和分母都乘以5，得到10/15。把1/5通分：分子和分母都乘以3，得到3/15。計算：10/15－3/15＝7/15。檢查7和15有沒有公因數：7是質數，15＝3×5，沒有共同因數，所以7/15已經是最簡分數。,1
計算 5/8÷5，請用最簡分數回答。,0,1/8,5/40,1/40,5/8,1/8,分數除以整數的方法：分子不變，分母乘以那個整數。5/8÷5＝5/(8×5)＝5/40。5/40的分子分母都可以除以5，約分得到1/8。也可以這樣想：分子5可以先除以5得到1，所以5/8÷5＝(5÷5)/8＝1/8。答案是1/8。,1
計算 4/9÷2，請用最簡分數回答。,1,,,,,2/9,分數除以整數的方法：分子不變，分母乘以那個整數。4/9÷2＝4/(9×2)＝4/18。4/18的分子分母都可以除以2，約分得到2/9。也可以先約分：分子4可以除以2得到2，所以4/9÷2＝(4÷2)/9＝2/9。答案是2/9。,1
計算 3/8＋1/6，請用最簡分數回答。,0,13/24,4/14,1/3,7/24,13/24,3/8和1/6的分母不同（8和6），需要通分。找8和6的最小公倍數：8的倍數是8、16、24…，6的倍數是6、12、18、24…，最小公倍數是24。把3/8通分：分子和分母都乘以3，得到9/24。把1/6通分：分子和分母都乘以4，得到4/24。計算：9/24＋4/24＝13/24。檢查13和24有沒有公因數：13是質數，24＝2×2×2×3，沒有共同因數，所以13/24已經是最簡分數。,1
計算 5/6＋3/10，請化為帶分數回答。,0,17/15,8/16,1又2/15,7/30,1又2/15,5/6和3/10的分母不同（6和10），需要通分。找6和10的最小公倍數：6的倍數是6、12、18、24、30…，10的倍數是10、20、30…，最小公倍數是30。把5/6通分：分子和分母都乘以5，得到25/30。把3/10通分：分子和分母都乘以3，得到9/30。計算：25/30＋9/30＝34/30。34/30的分子分母都可以除以2，約分得到17/15。17/15是假分數，化為帶分數：17÷15＝1餘2，所以是1又2/15。答案需要約分並化為帶分數。,1
計算 7/10－1/4，請用最簡分數回答。,1,,,,,9/20,7/10和1/4的分母不同（10和4），需要通分。找10和4的最小公倍數：10的倍數是10、20…，4的倍數是4、8、12、16、20…，最小公倍數是20。把7/10通分：分子和分母都乘以2，得到14/20。把1/4通分：分子和分母都乘以5，得到5/20。計算：14/20－5/20＝9/20。檢查9和20有沒有公因數：9＝3×3，20＝2×2×5，沒有共同因數，所以9/20已經是最簡分數。,1
計算 7/12＋1/4，請用最簡分數回答。,0,5/6,8/16,2/3,8/12,5/6,7/12和1/4的分母不同（12和4），需要通分。找12和4的最小公倍數：4的倍數是4、8、12…，12的倍數是12…，最小公倍數是12。7/12的分母已經是12，不用變。把1/4通分：分子和分母都乘以3，得到3/12。計算：7/12＋3/12＝10/12。10/12的分子分母都可以除以2，約分得到5/6。檢查5和6有沒有公因數：5是質數，6＝2×3，沒有共同因數，所以5/6已經是最簡分數。,1
