1→哪一個除法算式沒有餘數？,0,25÷4,33÷6,42÷7,29÷3,42÷7,42÷7=6 整除。其他：25÷4=6...1；33÷6=5...3；29÷3=9...2,1
2→□÷6=8...3，□是多少？,0,51,48,45,54,51,【驗算】商×除數+餘數=被除數。8×6+3=48+3=51,2
3→有一個除法算式：被除數是 59，除數是 8。下面哪個敘述正確？,0,商6餘11,商7餘3,商8餘0,商7餘4,商7餘3,59÷8=7...3。【驗算】7×8+3=56+3=59 ✓。注意餘數一定要比除數小,2
4→36 ÷ 4 = ？,1,,,,,9,36÷4=9。因為 9×4=36,1
5→72 ÷ 8 = ？,1,,,,,9,72÷8=9。因為 9×8=72,1
6→56 ÷ 7 = ？,1,,,,,8,56÷7=8。因為 8×7=56,1
7→45 ÷ 9 = ？,1,,,,,5,45÷9=5。因為 5×9=45,1
8→84 ÷ 4 = ？,1,,,,,21,【直式】先算十位：8÷4=2，寫 2 在十位。再算個位：4÷4=1，寫 1 在個位。答案是 21,2
9→96 ÷ 3 = ？,1,,,,,32,【直式】先算十位：9÷3=3，寫 3 在十位。再算個位：6÷3=2，寫 2 在個位。答案是 32,2
10→100 ÷ 5 = ？,1,,,,,20,【直式】先算百位：10÷5=2，寫 2。0÷5=0。答案是 20,1
11→63 ÷ 9 = ？,1,,,,,7,63÷9=7。因為 7×9=63,1
12→48 ÷ 6 = ？,1,,,,,8,48÷6=8。因為 8×6=48,1
13→54 ÷ 6 = ？,1,,,,,9,54÷6=9。因為 9×6=54,1
14→81 ÷ 9 = ？,1,,,,,9,81÷9=9。因為 9×9=81,1
15→75 ÷ 3 = ？,1,,,,,25,【直式】先算十位：7÷3=2...1。餘 1 和個位 5 合起來=15。15÷3=5。答案是 25,2
16→68 ÷ 4 = ？,1,,,,,17,【直式】先算十位：6÷4=1...2。餘 2 和個位 8 合起來=28。28÷4=7。答案是 17,2
17→91 ÷ 7 = ？,1,,,,,13,【直式】先算十位：9÷7=1...2。餘 2 和個位 1 合起來=21。21÷7=3。答案是 13,2
18→老師有 48 顆糖果，要平分給 6 個小朋友。每人可以分到幾顆？（請填數字）,2,,,,,8,【步驟】題目問的是「平分」，就是除法。48÷6=8。每人分到 8 顆糖果,1
19→校外教學全班有 35 個學生。每輛小巴士最多坐 8 人。至少需要幾輛小巴士？（請填數字）,2,,,,,5,【步驟】第一步：35÷8=4...3。第二步：4 輛坐滿了 4×8=32 人，但還有 3 人沒位子。第三步：這 3 人也需要一輛車，所以 4+1=5 輛。【關鍵】有餘數時「至少需要」要多加 1,2
20→媽媽買了 52 顆雞蛋，每盒裝 6 顆。可以裝滿幾盒？（請填數字）,2,,,,,8,【步驟】第一步：52÷6=8...4。第二步：可以完整裝滿 8 盒（8×6=48 顆）。第三步：還剩 4 顆不夠裝一盒。答案是 8 盒,2
21→王奶奶有 75 元，想買每枝 9 元的鉛筆。她最多可以買幾枝？（請填數字）,2,,,,,8,【步驟】第一步：75÷9=8...3。第二步：買 8 枝花了 8×9=72 元。第三步：還剩 75-72=3 元，不夠再買一枝（因為 3<9）。最多買 8 枝,2
22→學校種了 64 棵樹，每排種 8 棵。一共可以種幾排？（請填數字）,2,,,,,8,【步驟】64÷8=8（剛好整除，沒有餘數）。一共可以種 8 排,1
