計算 0.6×7，結果是多少？,0,4.2,0.42,42,6.7,4.2,計算0.6×7的方法：先忽略小數點，算6×7＝42。接著數小數位數：0.6有1位小數，7是整數沒有小數位。合計1位小數。所以把42的小數點從右邊往左移1位，得到4.2。答案是4.2。,1
計算 3.2×5，請寫出答案。,1,,,,,16,計算3.2×5的方法：先忽略小數點，算32×5＝160。接著數小數位數：3.2有1位小數，5是整數沒有小數位。合計1位小數。所以把160的小數點從右邊往左移1位，得到16.0，也就是16。答案是16。,1
計算 9×0.4 等於多少？,0,3.2,3.6,4.5,36,3.6,計算9×0.4的方法：先忽略小數點，算9×4＝36。接著數小數位數：9是整數沒有小數位，0.4有1位小數。合計1位小數。所以把36的小數點從右邊往左移1位，得到3.6。答案是3.6。,1
計算 15×0.3，請寫出答案。,1,,,,,4.5,計算15×0.3的方法：先忽略小數點，算15×3＝45。接著數小數位數：15是整數沒有小數位，0.3有1位小數。合計1位小數。所以把45的小數點從右邊往左移1位，得到4.5。答案是4.5。,1
計算 0.5×0.8 等於多少？,0,4.0,0.4,0.04,0.13,0.4,計算0.5×0.8的方法：先忽略小數點，算5×8＝40。接著數小數位數：0.5有1位小數，0.8有1位小數，合計2位小數。所以把40的小數點從右邊往左移2位，得到0.40，也就是0.4。答案是0.4。,1
計算 0.2×0.9 等於多少？,0,1.8,0.18,0.018,0.11,0.18,計算0.2×0.9的方法：先忽略小數點，算2×9＝18。接著數小數位數：0.2有1位小數，0.9有1位小數，合計2位小數。所以把18的小數點從右邊往左移2位，得到0.18。答案是0.18。,1
計算 4.5×2，請寫出答案。,1,,,,,9,計算4.5×2的方法：先忽略小數點，算45×2＝90。接著數小數位數：4.5有1位小數，2是整數沒有小數位。合計1位小數。所以把90的小數點從右邊往左移1位，得到9.0，也就是9。答案是9。,1
0.7×0.6的計算結果，小數點後面有幾位小數？,0,1位,2位,3位,0位,2位,判斷小數位數的方法：0.7有1位小數，0.6有1位小數。把兩個因數的小數位數相加：1＋1＝2位小數。所以0.7×0.6的結果有2位小數（0.7×0.6＝0.42，確實是2位小數）。答案是2位。,1
一包餅乾重0.8公斤，小華買了6包。請問這些餅乾一共重幾公斤？,2,4.2公斤,4.8公斤,5.4公斤,6.8公斤,4.8公斤,總重量＝0.8×6。先忽略小數點，算8×6＝48。0.8有1位小數，6是整數沒有小數位，合計1位小數。所以把48的小數點從右邊往左移1位，得到4.8公斤。答案是4.8公斤。,1
計算 1.1×0.3 等於多少？,0,3.3,0.33,0.03,1.3,0.33,計算1.1×0.3的方法：先忽略小數點，算11×3＝33。接著數小數位數：1.1有1位小數，0.3有1位小數，合計2位小數。所以把33的小數點從右邊往左移2位，得到0.33。答案是0.33。,1
計算 0.35×0.6，請寫出答案。,1,,,,,0.21,計算0.35×0.6的方法：先忽略小數點，算35×6＝210。接著數小數位數：0.35有2位小數，0.6有1位小數，合計3位小數。所以把210的小數點從右邊往左移3位，得到0.210，也就是0.21。答案是0.21。,2
計算 2.15×4 等於多少？,0,8.06,8.6,8.60,9.2,8.6,計算2.15×4的方法：先忽略小數點，算215×4＝860。接著數小數位數：2.15有2位小數，4是整數沒有小數位。合計2位小數。所以把860的小數點從右邊往左移2位，得到8.60，也就是8.6。答案是8.6。,2
計算 0.25×0.8 等於多少？,0,2.0,0.02,0.2,0.25,0.2,計算0.25×0.8的方法：先忽略小數點，算25×8＝200。接著數小數位數：0.25有2位小數，0.8有1位小數，合計3位小數。所以把200的小數點從右邊往左移3位，得到0.200，也就是0.2。尾端的0可以省略。答案是0.2。,2
計算 1.5×0.4，請寫出答案。,1,,,,,0.6,計算1.5×0.4的方法：先忽略小數點，算15×4＝60。接著數小數位數：1.5有1位小數，0.4有1位小數，合計2位小數。所以把60的小數點從右邊往左移2位，得到0.60，也就是0.6。尾端的0省略後，答案是0.6。,2
計算 3.14×0.5，請寫出答案。,1,,,,,1.57,計算3.14×0.5的方法：先忽略小數點，算314×5＝1570。接著數小數位數：3.14有2位小數，0.5有1位小數，合計3位小數。所以把1570的小數點從右邊往左移3位，得到1.570，也就是1.57。答案是1.57。,2
一塊長方形菜園，長4.5公尺，寬2.6公尺。請問菜園的面積是幾平方公尺？,2,10.7平方公尺,11.7平方公尺,11.07平方公尺,12.6平方公尺,11.7平方公尺,面積＝長×寬＝4.5×2.6。先忽略小數點，算45×26＝1170。接著數小數位數：4.5有1位小數，2.6有1位小數，合計2位小數。所以把1170的小數點從右邊往左移2位，得到11.70，也就是11.7平方公尺。答案是11.7平方公尺。,2
一枝鉛筆售價12.5元，小明買了8枝。請問他一共花了多少元？,2,96元,100元,104元,98元,100元,總金額＝12.5×8。先忽略小數點，算125×8＝1000。接著數小數位數：12.5有1位小數，8是整數沒有小數位，合計1位小數。所以把1000的小數點從右邊往左移1位，得到100.0，也就是100元。答案是100元。,2
一本書原價80元，現在打九折出售。請問打折後一本書賣多少元？,2,70元,72元,75元,68元,72元,打九折就是原價乘以0.9。80×0.9：先忽略小數點，算80×9＝720。接著數小數位數：0.9有1位小數，80是整數。合計1位小數。所以把720的小數點從右邊往左移1位，得到72.0，也就是72元。答案是72元。,2
計算 0.50×0.6 等於多少？,0,3.0,0.30,0.03,0.3,0.3,計算0.50×0.6的方法：0.50等於0.5。先忽略小數點，算5×6＝30。接著數小數位數：0.50有2位小數，0.6有1位小數，合計3位小數。所以把30的小數點從右邊往左移3位，得到0.030，去掉尾端的0就是0.03。但也可以先化簡：0.50＝0.5，0.5×0.6，合計2位小數，30往左移2位＝0.30＝0.3。兩種方法答案相同，答案是0.3。,2
一塊正方形瓷磚邊長2.5公分。請問這塊瓷磚的面積是幾平方公分？,2,5.0平方公分,5.25平方公分,6.25平方公分,7.5平方公分,6.25平方公分,面積＝邊長×邊長＝2.5×2.5。先忽略小數點，算25×25＝625。接著數小數位數：2.5有1位小數，2.5也有1位小數，合計2位小數。所以把625的小數點從右邊往左移2位，得到6.25平方公分。答案是6.25平方公分。,2
計算 0.4×0.3×0.5 等於多少？,0,0.6,0.06,0.006,0.12,0.06,先算0.4×0.3：忽略小數點算4×3＝12，兩數合計2位小數，12往左移2位＝0.12。再算0.12×0.5：忽略小數點算12×5＝60，0.12有2位小數加上0.5有1位小數，合計3位小數，60往左移3位＝0.060＝0.06。也可以一次算：4×3×5＝60，三個數合計1＋1＋1＝3位小數，60往左移3位＝0.060＝0.06。答案是0.06。,3
一件玩具原價350元，先打八折，再打九折。請問最後售價是多少元？,2,248元,252元,280元,315元,252元,分兩步計算。第一步打八折：350×0.8。忽略小數點，算350×8＝2800，0.8有1位小數，2800往左移1位＝280元。第二步再打九折：280×0.9。忽略小數點，算280×9＝2520，0.9有1位小數，2520往左移1位＝252元。答案是252元。,3
