"english","chinese","partOfSpeech","exampleSentence","englishDefinition"
"In addition","此外;另外","adv.","The hotel has a swimming pool. In addition, it offers free breakfast to every guest.","used to add another piece of information to what has already been said"
"In addition to","除了…之外(還)","phr.","In addition to English, she can speak French and Japanese.","as well as; besides something else"
"Furthermore","此外;而且","adv.","The plan is too expensive. Furthermore, it would take far too long to finish.","in addition to what has been said; moreover"
"Moreover","此外;而且","adv.","The car is cheap. Moreover, it uses very little gas.","used to add information that supports the previous statement"
"Besides","此外;再說","adv.","I don't want to go out tonight. Besides, I have no money.","in addition; used to give another reason"
"What's more","更重要的是","phr.","The trip was fun, and what's more, it didn't cost much.","used to add a point that is even more important"
"Additionally","此外;另外","adv.","The price includes dinner. Additionally, breakfast is served every morning.","as an extra fact or circumstance"
"Also","也;還","adv.","She is a talented singer. She also writes her own songs.","in addition; too"
"Not only","不僅;不但(常用倒裝句首)","adv.","Not only did she sing, she also danced beautifully on the stage.","used at the start of a clause, often with inversion, to emphasize that something more is true"
"However","然而;但是","adv.","I would love to come. However, I am too busy this week.","used to introduce a statement that contrasts with what was said before"
"On the other hand","另一方面","phr.","The city is exciting. On the other hand, it can be very noisy.","used to present a different or opposite point of view"
"Nevertheless","儘管如此;然而","adv.","It was raining hard. Nevertheless, they went on with the game.","in spite of what has just been said"
"On the contrary","正相反","phr.","He isn't lazy. On the contrary, he works harder than anyone else.","used to express the opposite of what was just stated"
"In contrast","相比之下","phr.","My brother is quiet. In contrast, I love to talk.","used to compare two very different things"
"Instead","反而;作為替代","adv.","We had no rice, so we ate noodles instead.","in place of something else"
"Even so","即使如此","phr.","The test was hard. Even so, most students passed.","in spite of that; nevertheless"
"Still","仍然;還是","adv.","She knew it was dangerous, but she still wanted to try.","in spite of that; nevertheless"
"Although","雖然","conj.","Although it was cold, we went swimming in the sea.","in spite of the fact that"
"Even though","即使;雖然","conj.","Even though he was tired, he finished all his homework.","despite the fact that; used for emphasis"
"Despite","儘管","prep.","Despite the heavy rain, the show went on as planned.","without being affected by; in spite of"
"In spite of","儘管","phr.","In spite of his age, he still runs every morning.","without being prevented by something; despite"
"While","然而;雖然(對比)","conj.","While I like coffee, my sister prefers tea.","used to contrast two things; whereas"
"Whereas","然而;反之","conj.","Tom is tall, whereas his younger brother is quite short.","in contrast to the fact that"
"Therefore","因此;所以","adv.","He didn't study at all, therefore he failed the exam.","for that reason; as a result"
"Thus","因此;從而","adv.","The road was closed. Thus, we had to take another way home.","as a result of this; therefore"
"As a result","結果;因此","phr.","He missed the bus. As a result, he was late for school.","because of this; consequently"
"Consequently","因此;結果","adv.","She broke the rules and consequently lost her job.","as a result; therefore"
"Hence","因此;故","adv.","The data is old, hence the wrong conclusion.","for this reason; therefore"
"For this reason","因為這個原因","phr.","The bridge is unsafe. For this reason, it is closed to traffic.","because of what was just mentioned"
"Because of","因為;由於","phr.","The flight was delayed because of the heavy storm.","as a result of; due to"
"Due to","由於;因為","phr.","The game was canceled due to bad weather.","caused by; because of"
