section,english,chinese
A1,could,能夠（助動詞）
A1,would,將會（助動詞）
A1,emergency,緊急狀況
A1,capital,首都
A2,making,製作
A2,pattern,圖案／規律
A2,seek,尋找
A2,hide,隱藏
A2,once,一旦（conj.）
A2,although,雖然（conj.）
A2,though,雖然（conj.）
A2,through,透過（prep.）
A2,throw,丟（threw / thrown）
A2,neck,脖子
A2,receive,收到
A2,instead of,代替／改為
A2,beside,在…旁邊
A2,during,在…期間
A2,change,改變
A2,cart,手推車
A2,why might,為何可能…
A2,how far,多遠
A2,work out,計算／想出
A2,purpose,目的
A2,century,世紀
A2,mention,提到
A2,directly,直接
D2,himself,他自己
D2,made,製成（v-ed）
D2,invited,邀請
D2,too...to,太…而不能
D2,quite,相當
D2,turn up,出現／（音量）調大
D2,is being + pp,被動進行式
D2,weight,重量
D2,humble,謙虛
D2,social proof,社交證明（如 google 評論）
D2,social skill,社交技能
D2,social media,社群媒體
D2,Einstein,愛因斯坦
D2,be responsible for,對…負責
D2,responsibility,責任
D2,twist,扭轉
D2,is completed,完成（被動）
D2,promise,承諾
D2,contact,聯絡
D2,last from,從…持續
D2,further,進一步的
D2,pay raise,加薪
D2,climate,氣候
D2,shelf,架子
A3,fear,害怕
A3,weight,重量
A3,in place of,代替
A3,replace,取代
A3,displacement,位移／替換
A3,expression,表達
A3,no choice but to,別無選擇只能
A3,no idea about,不知道
A3,typically,通常
A4,in order to,為了
A4,advanced,先進的／進階的
A4,survive,倖存
A4,forgive,原諒
A4,unfortunately,不幸地
A4,last for,持續
A4,after all,畢竟
A4,instead of,代替
A5,stand for,代表
A5,recover from,從…復原
A5,as a result,因此／結果
A5,therefore,因此
A5,custom,習俗
D3,make a living,謀生
D3,in order to,為了
D3,even though,即使
D3,except for,除了
D3,torn apart,撕裂／分開
A6,required,需要的
A6,skill,技能
A6,thus,因此
A6,organize,組織／籌劃
A6,extremely,極為
A6,handle,處理
A6,cause,造成／原因
A6,weight,重量
A6,figure,數字／人物
A7,lack,缺乏
A7,risk,風險
A7,damage,損害
A7,district,區域
A7,prison,監獄
A7,attitude,態度
A7,rule,規則
A7,construct,建造
A7,loft,閣樓
A7,site,地點／網站
A7,local,當地的
A7,former,之前的
A7,recommend,推薦
A7,study,研究
A7,abuse,濫用
A7,climate,氣候
A7,print,列印
A7,recently,最近
A7,experiencing,經歷
A7,error,錯誤
A7,provide,提供
A7,issue,議題／問題
A7,curtain,窗簾
A7,hashtag,標籤
A7,product,產品
A7,consultant,顧問
A7,specific,特定的
A7,opinion,意見
A8,square,正方形
A8,rectangle,長方形
A8,curve,曲線
A8,scale,規模／比例
A8,straight,直的
A8,complaint,抱怨
A8,connect,連接
A8,succeed,成功
A8,form,形式
A8,occur,發生
A8,principle,原則
A8,fortunately,幸運地
A8,though,不過
A8,except,除了
A8,silly,愚笨的
A8,forgotten,忘記（forget 的 pp）
A8,envy,羨慕／嫉妒
A8,previously,之前
A9,narrow,狹窄的
A9,decrease,減少
A9,map,地圖
A9,slight,輕微的
A9,professor,教授
A9,indicate,指出
A9,offer,提供
A9,supply,供應
A9,beyond,超越
A9,display,展示
A9,addition,添加
A9,in order,按順序
A9,beyond number,不計其數
A9,examine,檢查
A9,purchase,購買
A9,operate,運作／操作
A9,besides,此外
A9,perhaps,也許
A9,refuse,拒絕
A9,take over,接管
A9,refer to,提及／參考
A10,routine,例行公事
A10,emphasize,強調
A10,solution,解決方案
A10,steady,穩定的
A10,pleasure,樂趣
A10,come down,下降
A10,division,部門／分區
A10,whatever,無論什麼
A10,in other words,換句話說
B1,attractive,吸引人的
B1,storm,暴風雨
B1,too...to,太…以致於不能
B1,region,地區
B1,tasted,嚐（taste 過去式）
B1,(難辨識),tele… / feel…?
B1,relationship,關係
B1,tourism,旅遊業
B1,deserve,應得／值得
B1,furthermore,此外
B1,as long as,只要
B1,due to,由於
B1,connection,連接／關係
B1,promote,推廣／促進
B2,servant,僕人
B2,speech,演講
B2,easily,容易地
B2,fully,充分地
B2,barely,幾乎不
B2,awake,清醒的
B2,regretted,後悔
B2,instrument,樂器
B2,giant,巨人
B2,comparison,比較
B2,position,位置
B2,ever since,自從
B2,whenever,無論何時
B2,publish,出版／發布
B2,strength,力量
B3,manage to,成功做到
B3,lead to,導致
B3,run into,偶然遇到
B3,raise,提高
B3,failure,失敗
B3,criticize,批評
B3,result,結果
B3,be known as,以…聞名
B3,tasty,美味的
B3,not only...but also,不僅…而且
B3,expose,暴露／揭發
B3,eventually,最終
B4,recently,最近
B4,find out,找出
B4,lose,失去
B4,mark,標記
B4,have a massage,按摩
B4,born,出生
B4,ban sb from V-ing,禁止某人做…
B4,private,私人的
B4,average,平均
B4,advise,建議
B4,expected,期望／預期
B4,toward,朝向
B4,decade,十年
B4,speech,演講
