ability,能力,n.,She has the ability to run very fast.,The power or skill to do something.
advice,忠告、建議,n.,My teacher gave me good advice about studying.,Helpful words that tell you what you should do.
announce,宣布,v.,The teacher will announce the winner tomorrow.,To tell people about something in a public way.
familiar,熟悉的,adj.,This song sounds familiar to me.,Well known to you because you have seen or heard it before.
invention,發明,n.,The telephone is a very useful invention.,A new thing that someone makes for the first time.
magnet,磁鐵,n.,The magnet picked up all the little nails.,A piece of metal that can pull other metal things to it.
do research,做研究,phr.,We do research about animals in science class.,To study something carefully to learn more about it.
experiment,實驗,n.,We did a fun experiment with water in class.,A test you do to find out if something is true.
experience,經驗,n.,He has a lot of experience playing the piano.,The knowledge or skill you get from doing things.
experienced,有經驗的,adj.,She is an experienced swimmer.,Having skill or knowledge from doing something many times.
improve,改善,v.,I want to improve my English this year.,To make something better, or to become better.
modern,現代的、現代化的,adj.,They live in a modern house with new things.,Belonging to the present time; new and up to date.
magazine,雜誌,n.,I like to read a magazine about animals.,A thin book with stories and pictures that comes out often.
electricity,電,n.,We use electricity to turn on the lights.,A kind of power that makes lights and machines work.
electron,電子,n.,An electron is too small to see.,A very tiny part of an atom that carries electricity.
tube,管子,n.,The water flows through a long tube.,A long, round, hollow object that air or liquid can go through.
image,影像,n.,I saw a clear image of the moon.,A picture of someone or something.
imagine,想像,v.,Close your eyes and imagine a big blue ocean.,To make a picture of something in your mind.
imagination,想像力,n.,Children use their imagination when they play.,The power of your mind to make pictures and new ideas.
disagree,不同意,v.,I disagree with you about the best game.,To have a different idea or opinion from someone.
agree,同意,vi.,We all agree that the movie was great.,To think the same way as someone else.
