一個三角形的兩個角分別是70度和80度，請問第三個角是幾度？,0,20,30,40,50,30,根據三角形內角和定理，三角形的三個內角加起來一定等於180度。已知兩個角分別是70度和80度，設第三個角為x度。列式：70＋80＋x＝180。先算70＋80＝150。再算x＝180－150＝30。所以第三個角是30度。,1
一個四邊形有三個角分別是80度、90度和100度，請問第四個角是幾度？,0,80,90,100,110,90,根據四邊形內角和定理，四邊形的四個內角加起來一定等於360度。已知三個角分別是80度、90度和100度，設第四個角為x度。列式：80＋90＋100＋x＝360。先算80＋90＋100＝270。再算x＝360－270＝90。所以第四個角是90度。,1
正三角形的三個角都一樣大，請問每個角是幾度？,1,,,,,60,正三角形的三條邊一樣長，三個角也完全相等。根據三角形內角和定理，三個內角加起來等於180度。因為三個角相等，設每個角為x度，列式：x＋x＋x＝180，也就是3x＝180。算出x＝180÷3＝60。所以正三角形的每個角是60度。,1
一個三角形的三個角分別是40度、60度和80度，這個三角形按角度分類屬於哪一種？（銳角三角形、直角三角形或鈍角三角形）,0,銳角三角形,直角三角形,鈍角三角形,等腰三角形,銳角三角形,三角形按角度分類有三種：銳角三角形（三個角都小於90度）、直角三角形（有一個角等於90度）、鈍角三角形（有一個角大於90度）。這個三角形的三個角是40度、60度和80度，三個角都小於90度，所以它是銳角三角形。,1
一個三角形有一個角是90度，另一個角是28度，請問第三個角是幾度？,0,52,62,72,82,62,根據三角形內角和定理，三角形的三個內角加起來一定等於180度。已知一個角是90度，另一個角是28度，設第三個角為x度。列式：90＋28＋x＝180。先算90＋28＝118。再算x＝180－118＝62。所以第三個角是62度。,1
一個直角三角形的其中一個銳角是41度，請問另一個銳角是幾度？,1,,,,,49,根據三角形內角和定理，三個內角加起來等於180度。直角三角形有一個角固定是90度。設另一個銳角為x度，列式：90＋41＋x＝180。先算90＋41＝131。再算x＝180－131＝49。所以另一個銳角是49度。,1
一個等腰三角形的兩個底角各是55度，請問頂角是幾度？,0,60,65,70,75,70,根據三角形內角和定理，三角形的三個內角加起來一定等於180度。等腰三角形有兩個相等的底角，每個底角是55度。設頂角為x度，列式：55＋55＋x＝180。先算55＋55＝110。再算x＝180－110＝70。所以頂角是70度。,1
一個三角形有一個角是25度，另一個角是120度，請問第三個角是幾度？這個三角形是哪一種三角形？（銳角、直角或鈍角三角形）,0,35度且為銳角三角形,35度且為鈍角三角形,45度且為鈍角三角形,55度且為銳角三角形,35度且為鈍角三角形,根據三角形內角和定理，三個內角加起來等於180度。設第三個角為x度，列式：25＋120＋x＝180。先算25＋120＝145。再算x＝180－145＝35。第三個角是35度。三個角分別是25度、120度、35度。因為120度大於90度，根據分類定義，有一個角大於90度的三角形是鈍角三角形。,1
長方形有幾條對稱軸？,0,1,2,3,4,2,長方形有2條對稱軸。一條是連接兩條長邊中點的水平對稱軸，另一條是連接兩條短邊中點的垂直對稱軸。沿著這兩條線對折，左右或上下兩半都能完全重合。注意：長方形沒有對角線方向的對稱軸（除非是正方形）。,1
正三角形有幾條對稱軸？,0,1,2,3,4,3,正三角形有3條對稱軸。每一條對稱軸都是從一個頂點到對面那條邊的中點的連線。沿著任何一條對稱軸對折，兩邊都能完全重合。這是因為正三角形的三條邊一樣長、三個角一樣大，所以每個頂點都可以當作對稱軸的起點。,1
一個等腰三角形的頂角是80度，請問每一個底角是幾度？,1,,,,,50,根據三角形內角和定理，三個內角加起來等於180度。等腰三角形有兩個相等的底角。設每個底角為x度，列式：80＋x＋x＝180，也就是80＋2x＝180。移項得2x＝180－80＝100。算出x＝100÷2＝50。所以每個底角是50度。,2
