1→圖形排列：○●○●○●○？ 問號應該填什麼？,0,○,●,△,□,●,規律是 ○● 兩個一組重複。第 8 個位置是偶數位=●,1
2→下列哪一組數字有「每次加 3」的規律？,0,2、5、8、11,1、3、6、10,4、8、12、16,10、7、4、1,2、5、8、11,A：2+3=5 再+3=8 再+3=11 ✓。B差距不固定。C每次+4。D每次-3,1
3→用火柴棒排三角形。排 1 個要 3 根，排 2 個（共用邊）要 5 根，排 3 個要 7 根。排 4 個要幾根？,0,8根,9根,10根,11根,9根,每多排 1 個三角形多 2 根（因為共用一邊）。3→5→7→9,2
4→數字排列：1、4、9、16、25、？ 下一個數字是？,0,30,34,36,49,36,1=1×1，4=2×2，9=3×3，16=4×4，25=5×5。下一個是 6×6=36。這叫「平方數」,3
5→數字排列：2、4、6、8、？（請填數字）,1,,,,,10,每個數字比前一個多 2（偶數排列）。8+2=10,1
6→數字排列：5、10、15、20、？（請填數字）,1,,,,,25,每個數字比前一個多 5。20+5=25。這也是 5 的倍數,1
7→數字排列：1、3、5、7、9、？（請填數字）,1,,,,,11,奇數排列，每次加 2。9+2=11,1
8→數字排列：100、90、80、70、？（請填數字）,1,,,,,60,每次減 10。70-10=60。這是遞減規律,1
9→數字排列：4、7、10、13、？（請填數字）,1,,,,,16,每個數字比前一個多 3。13+3=16,1
10→老師在黑板上寫了：3、6、9、12、15...。第 10 個數字是多少？（請填數字）,1,,,,,30,這是 3 的倍數。第 1 個=3×1=3，第 2 個=3×2=6。所以第 10 個=3×10=30,2
11→用火柴棒排正方形。排 1 個要 4 根，排 2 個（共用邊）要 7 根，排 3 個要 10 根。排 5 個要幾根？（請填數字）,1,,,,,16,每多 1 個正方形多 3 根。4→7→10→13→16。公式：3×5+1=16,2
12→用小圓點排圖案。第 1 個用 1 個點，第 2 個用 4 個點，第 3 個用 9 個點。第 4 個用幾個點？（請填數字）,1,,,,,16,1=1×1，4=2×2，9=3×3。第 4 個=4×4=16 個點。這是「正方形數」,2
13→數字排列：2、6、10、14、？（請填數字）,1,,,,,18,每個數字比前一個多 4。14+4=18,1
14→數字排列：50、45、40、35、？（請填數字）,1,,,,,30,每次減 5。35-5=30。這是遞減規律,1
15→數字排列：1、2、4、8、16、？（請填數字）,1,,,,,32,每次乘以 2（變成 2 倍）。16×2=32,2
16→數字排列：7、11、15、19、23、？（請填數字）,1,,,,,27,每個數字比前一個多 4。23+4=27,1
17→小美用珠子串手鍊，按照「紅藍藍」的規律一直串下去。第 20 顆珠子是什麼顏色？（請填「紅」或「藍」）,2,,,,,藍,【步驟】第一步：找出規律是 3 顆一組：紅(1)藍(2)藍(3)。第二步：算第 20 顆在第幾組的第幾個：20÷3=6...2。第三步：餘 2 代表是每組的第 2 個=藍。【技巧】除以一組的個數，看餘數決定位置,2
18→排隊做操按照「男男女」的規律排列。第 25 個小朋友是男生還是女生？（請填「男」或「女」）,2,,,,,男,【步驟】第一步：規律是 3 人一組：男(1)男(2)女(3)。第二步：25÷3=8...1。第三步：餘 1 是每組第 1 個=男。【驗算】8 組×3 人=24 人，第 25 個是下一組第 1 個=男 ✓,2
19→圖形排列：★○○★○○★○○★... 第 15 個圖形是什麼？（請填「★」或「○」）,2,,,,,○,【步驟】第一步：規律是 3 個一組：★(1)○(2)○(3)。第二步：15÷3=5 整除。第三步：整除代表是每組最後一個=○。【關鍵】整除=最後一個，不是第一個！,2
20→圖書館書架第 1 層放 2 本，第 2 層放 5 本，第 3 層放 8 本，第 4 層放 11 本。第 6 層放幾本？（請填數字）,2,,,,,17,【步驟】第一步：找規律 2→5→8→11，每層比上一層多 3 本。第二步：第 5 層=11+3=14 本。第三步：第 6 層=14+3=17 本,2
21→小明觀察月曆發現某一排日期：3、10、17、24。每次加幾？（請填數字）,2,,,,,7,【步驟】第一步：算每兩個數字的差。第二步：10-3=7，17-10=7，24-17=7。每次都加 7。【生活連結】一個星期有 7 天，所以月曆同一行的日期每次差 7,2
